"site_ID","M_YEAR","total_abund","site_rel_SR","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","woodland_dist_m","grassland_dist_m","n_days"
227,2016,30.1511809047855,0.125,20,1,1,7,3,1,0,0,0,1,0,0,0,0.886144639001772,0,0.0261906648264488,0.0876646961717792,338.456980180677,355.044046989045,6
227,2017,52.8365027627404,0.15625,20,1,1,7,3,1,0,0,0,1,0,0,0,0.886144639001772,0,0.0261906648264488,0.0876646961717792,338.456980180677,355.044046989045,7
227,2018,13.0423441439875,0.125,20,1,1,7,3,1,0,0,0,1,0,0,0,0.886144639001772,0,0.0261906648264488,0.0876646961717792,338.456980180677,355.044046989045,4
228,2020,74.543860467361,0.1875,0,NA,NA,NA,NA,1,0,0,0,0.854900186888941,0,0,0.145099813111059,0.878919746257907,0,0.0232172413936458,0.097863012348447,380.04413135185,119.197995775541,30
228,2021,54.372152456664,0.1875,0,NA,NA,NA,NA,1,0,0,0,0.854900186888941,0,0,0.145099813111059,0.878919746257907,0,0.0232172413936458,0.097863012348447,380.04413135185,119.197995775541,29
229,2017,63.4670817827613,0.21875,30,1,1,6,4,0.608168018994996,0.293378980104969,0,0.0984530009000358,0.300295213625193,0.250650917393675,0,0.449053868981132,0.170858035179739,0.34036297975901,0,0.488778985061251,575.125808477687,58.8004815355633,8
229,2018,39.662782143475,0.15625,30,1,1,6,4,0.608168018994996,0.293378980104969,0,0.0984530009000358,0.300295213625193,0.250650917393675,0,0.449053868981132,0.170858035179739,0.34036297975901,0,0.488778985061251,575.125808477687,58.8004815355633,11
230,2017,27.1482359372072,0.0714285714285714,0,1,2,5,2,1,0,0,0,0.945025268911863,0,0,0.0549747310881366,0.961435169476635,0,0,0.0137436827720327,584.754530551387,103.841211764722,6
231,2021,48.3678487181301,0.241379310344828,40,1,1,8,3,0.710931206232111,0.0288606437864075,0,0.260208149981481,0.163007009794153,0.234027745715905,0.097370376441447,0.505594868048495,0.06774124386011,0.332604353241084,0.0860982755852911,0.513556127313515,141.881266428711,38.6465623874041,3
232,2020,98.1062117764543,0.428571428571429,0,2,2,5,1,0.979993905241972,0,0.0200060947580278,0,0.709620784333725,0,0.176111626228382,0.0806480142818781,0.636353953592744,0.000287716026700968,0.204129768294765,0.150823668199163,76.2151309786129,140.603461430917,14
233,2017,30.5273567404324,0.178571428571429,0,1,1,6,3,1,0,0,0,1,0,0,0,0.900708766276834,0,0.0101365043795192,0.0891547293436473,315.862871314553,257.505682529604,4
234,2016,53.7249850544995,0.258064516129032,0,1,1,NA,NA,0.77748516598251,0.00614580135790926,0,0.216369032659581,0.341727182741482,0.119534578506096,0,0.538738238752422,0.137073135533366,0.107757596189351,0.0344261753439867,0.7128604885392,396.03523978587,60.5355618119808,25
234,2017,74.7659444400948,0.258064516129032,0,1,1,NA,NA,0.77748516598251,0.00614580135790926,0,0.216369032659581,0.341727182741482,0.119534578506096,0,0.538738238752422,0.137073135533366,0.107757596189351,0.0344261753439867,0.7128604885392,396.03523978587,60.5355618119808,16
234,2018,47.8876601406037,0.129032258064516,0,1,1,NA,NA,0.77748516598251,0.00614580135790926,0,0.216369032659581,0.341727182741482,0.119534578506096,0,0.538738238752422,0.137073135533366,0.107757596189351,0.0344261753439867,0.7128604885392,396.03523978587,60.5355618119808,12
234,2020,118.655451021381,0.354838709677419,0,1,1,NA,NA,0.77748516598251,0.00614580135790926,0,0.216369032659581,0.341727182741482,0.119534578506096,0,0.538738238752422,0.137073135533366,0.107757596189351,0.0344261753439867,0.7128604885392,396.03523978587,60.5355618119808,25
234,2021,102.09933626385,0.387096774193548,0,1,1,NA,NA,0.77748516598251,0.00614580135790926,0,0.216369032659581,0.341727182741482,0.119534578506096,0,0.538738238752422,0.137073135533366,0.107757596189351,0.0344261753439867,0.7128604885392,396.03523978587,60.5355618119808,21
235,2018,16.7869733087124,0.0689655172413793,1,1,1,2,3,0.890471446779321,0,0,0.109528553220679,0.763677388000372,0,0,0.236322611999628,0.82390830445191,0,0,0.124357527204895,620.693745668115,53.4423092292474,3
235,2019,48.6892204101486,0.206896551724138,1,1,1,2,3,0.890471446779321,0,0,0.109528553220679,0.763677388000372,0,0,0.236322611999628,0.82390830445191,0,0,0.124357527204895,620.693745668115,53.4423092292474,12
236,2016,78.4100758222754,0.310344827586207,225,1,1,5,4,1,0,0,0,1,0,0,0,0.964381340009868,0,0,0.0356186599901316,570.23278999277,272.421551567683,47
236,2017,234.105489101359,0.275862068965517,225,1,1,5,4,1,0,0,0,1,0,0,0,0.964381340009868,0,0,0.0356186599901316,570.23278999277,272.421551567683,46
236,2018,90.6794591782493,0.379310344827586,225,1,1,5,4,1,0,0,0,1,0,0,0,0.964381340009868,0,0,0.0356186599901316,570.23278999277,272.421551567683,33
236,2019,217.105974962029,0.241379310344828,225,1,1,5,4,1,0,0,0,1,0,0,0,0.964381340009868,0,0,0.0356186599901316,570.23278999277,272.421551567683,39
236,2020,131.57276576192,0.344827586206897,225,1,1,5,4,1,0,0,0,1,0,0,0,0.964381340009868,0,0,0.0356186599901316,570.23278999277,272.421551567683,29
236,2021,82.9966248630355,0.448275862068966,225,1,1,5,4,1,0,0,0,1,0,0,0,0.964381340009868,0,0,0.0356186599901316,570.23278999277,272.421551567683,35
237,2017,29.2962100417334,0.214285714285714,1,1,1,5,3,0.850564786489034,0,0,0.149435213510966,0.913595612156688,0,0,0.0864043878433125,0.877577970513248,0,0.000173061763055415,0.122248967723697,496.908810319469,33.1832572699088,11
238,2017,30.9776250817329,0.206896551724138,0,1,2,3,3,1,0,0,0,1,0,0,0,0.969178572834621,0,0.0308214271653792,0,350.608687065609,556.151790874315,5
239,2016,27.6801478610074,0.137931034482759,10,1,1,4,3,0.968230412534931,0,0,0.0317695874650694,0.498023008346817,0.0040741015099577,0,0.497902890143226,0.284346468448127,0.147336829906789,0.00327791585935386,0.316457394891362,464.777251374914,84.5376437800018,6
239,2017,47.8456473167721,0.206896551724138,10,1,1,4,3,0.968230412534931,0,0,0.0317695874650694,0.498023008346817,0.0040741015099577,0,0.497902890143226,0.284346468448127,0.147336829906789,0.00327791585935386,0.316457394891362,464.777251374914,84.5376437800018,13
239,2018,31.5813299548267,0.172413793103448,10,1,1,4,3,0.968230412534931,0,0,0.0317695874650694,0.498023008346817,0.0040741015099577,0,0.497902890143226,0.284346468448127,0.147336829906789,0.00327791585935386,0.316457394891362,464.777251374914,84.5376437800018,3
240,2017,22.6188065831718,0.0666666666666667,0,2,2,8,3,0.586754379758828,0.413245620241172,0,0,0.395650792797868,0.604349207202132,0,0,0.359650316326862,0.341058750043876,0,0.299290933629262,579.280701985411,268.058144609241,2
241,2017,29.0147175309773,0.137931034482759,5,1,1,6,3,1,0,0,0,0.979598056696668,0,0,0.0204019433033318,0.843974189833857,0,0,0.156025810166143,1109.33926728814,220.891394183007,4
241,2018,26.8171536736259,0.172413793103448,5,1,1,6,3,1,0,0,0,0.979598056696668,0,0,0.0204019433033318,0.843974189833857,0,0,0.156025810166143,1109.33926728814,220.891394183007,8
241,2019,29.2759577159044,0.206896551724138,5,1,1,6,3,1,0,0,0,0.979598056696668,0,0,0.0204019433033318,0.843974189833857,0,0,0.156025810166143,1109.33926728814,220.891394183007,7
241,2020,26.4724886703539,0.0689655172413793,5,1,1,6,3,1,0,0,0,0.979598056696668,0,0,0.0204019433033318,0.843974189833857,0,0,0.156025810166143,1109.33926728814,220.891394183007,4
242,2017,53.4368080062544,0.137931034482759,10,1,1,8,2,1,0,0,0,1,0,0,0,0.892761500250762,0,0,0.107238499749238,1359.94126487122,283.169128603637,3
243,2016,104.989711709994,0.241379310344828,6,1,1,5,2,1,0,0,0,0.72300481732562,0.104020214182897,0.089985738785984,0.0829892297054996,0.344609922941817,0.253638968677947,0.310950734458107,0.0908003739221288,103.141687529643,136.008243468585,12
244,2017,16.3422459177822,0.09375,0,2,2,7,2,0.813838321117776,0,0.186161678882224,0,0.636695510688577,0,0.19984064031704,0.163463848994383,0.558309342648673,0.0584375920674191,0.0853516921175173,0.297901373166391,57.2344690212026,141.048084242928,4
245,2016,76.0380349034085,0.310344827586207,3,1,1,5,3,1,0,0,0,0.894597959706014,0,0,0.105402040293986,0.558343844595061,0.000697933053479493,0.0193329604734995,0.42162526187796,296.039471856819,172.907297166673,13
246,2016,30.5800574388649,0.137931034482759,0,1,2,6,3,1,0,0,0,0.999667457576583,0,0,0.000332542423417431,0.753627802043158,0,0.0225257049100753,0.223846493046766,265.016883582958,248.049516069587,9
246,2017,71.621004897123,0.206896551724138,0,1,2,6,3,1,0,0,0,0.999667457576583,0,0,0.000332542423417431,0.753627802043158,0,0.0225257049100753,0.223846493046766,265.016883582958,248.049516069587,27
246,2018,58.5409898218343,0.206896551724138,0,1,2,6,3,1,0,0,0,0.999667457576583,0,0,0.000332542423417431,0.753627802043158,0,0.0225257049100753,0.223846493046766,265.016883582958,248.049516069587,10
246,2019,60.5409381891841,0.275862068965517,0,1,2,6,3,1,0,0,0,0.999667457576583,0,0,0.000332542423417431,0.753627802043158,0,0.0225257049100753,0.223846493046766,265.016883582958,248.049516069587,19
246,2020,75.0805755758594,0.137931034482759,0,1,2,6,3,1,0,0,0,0.999667457576583,0,0,0.000332542423417431,0.753627802043158,0,0.0225257049100753,0.223846493046766,265.016883582958,248.049516069587,27
246,2021,55.4359362322772,0.241379310344828,0,1,2,6,3,1,0,0,0,0.999667457576583,0,0,0.000332542423417431,0.753627802043158,0,0.0225257049100753,0.223846493046766,265.016883582958,248.049516069587,23
247,2016,48.2141744240719,0.275862068965517,0,1,2,8,1,1,0,0,0,0.915137130055598,0.030106020419752,0.0547568495246499,0,0.669345182470011,0.072634217341639,0.0921346611404502,0.1658859390479,131.647835010117,257.503743804897,3
247,2019,117.802874715833,0.310344827586207,0,1,2,8,1,1,0,0,0,0.915137130055598,0.030106020419752,0.0547568495246499,0,0.669345182470011,0.072634217341639,0.0921346611404502,0.1658859390479,131.647835010117,257.503743804897,3
248,2020,17.9314553901418,0.103448275862069,50,1,1,5,4,0.830465226174759,0,0.169534773825241,0,0.917069956778511,0,0.0829300432214891,0,0.979267489194637,0,0.0207325108053631,0,49.8080741946129,773.953486337316,2
249,2016,43.6986314654481,0.172413793103448,5,1,1,5,2,1,0,0,0,1,0,0,0,1,0,0,0,598.658297017239,666.895164305464,20
