"site_ID","M_YEAR","total_abund","site_rel_SR","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","n_days"
335,2020,52.0639684759446,0.3,18,1,1,1,3,0.972003018516426,0,0.0279969814835745,0,0.796488528665506,0,0.203511471334494,0,0.734772958028334,0.000426972618122516,0.257522266941959,0.00727780241158532,18
336,2017,89.5809381607423,0.3,10,1,1,8,3,0.7044089395437,0.180457352456203,0,0.115133708000097,0.417638398673607,0.321207048116891,0,0.261154553209503,0.232436372588482,0.322909289353036,0.0170645885812041,0.427589749477278,21
337,2016,124.279812581723,0.321428571428571,20,1,1,8,4,0,0.0127458430119753,0.126750010893368,0.860504146094657,0.0204254222346338,0.360133340232776,0.0636270308733174,0.555814206659273,0.0233627482118152,0.488236765961783,0.0813391483869056,0.407061337439496,13
337,2017,47.6479141359594,0.214285714285714,20,1,1,8,4,0,0.0127458430119753,0.126750010893368,0.860504146094657,0.0204254222346338,0.360133340232776,0.0636270308733174,0.555814206659273,0.0233627482118152,0.488236765961783,0.0813391483869056,0.407061337439496,10
337,2018,117.690250672857,0.285714285714286,20,1,1,8,4,0,0.0127458430119753,0.126750010893368,0.860504146094657,0.0204254222346338,0.360133340232776,0.0636270308733174,0.555814206659273,0.0233627482118152,0.488236765961783,0.0813391483869056,0.407061337439496,18
337,2020,28.8720189430734,0.142857142857143,20,1,1,8,4,0,0.0127458430119753,0.126750010893368,0.860504146094657,0.0204254222346338,0.360133340232776,0.0636270308733174,0.555814206659273,0.0233627482118152,0.488236765961783,0.0813391483869056,0.407061337439496,21
337,2021,59.0345976100736,0.214285714285714,20,1,1,8,4,0,0.0127458430119753,0.126750010893368,0.860504146094657,0.0204254222346338,0.360133340232776,0.0636270308733174,0.555814206659273,0.0233627482118152,0.488236765961783,0.0813391483869056,0.407061337439496,31
338,2016,56.267415939709,0.321428571428571,30,1,1,1,3,1,0,0,0,1,0,0,0,0.72473123578692,0.0827743918475669,0.00394314519850256,0.18855122716701,15
339,2018,88.2989939743443,0.285714285714286,16,1,1,7,2,0.997886636833492,0.00211336316650807,0,0,0.804157914735379,0.195842085264621,0,0,0.55951285805919,0.320096569885188,0.000518668013884824,0.119871904041737,27
339,2019,73.040598787801,0.321428571428571,16,1,1,7,2,0.997886636833492,0.00211336316650807,0,0,0.804157914735379,0.195842085264621,0,0,0.55951285805919,0.320096569885188,0.000518668013884824,0.119871904041737,32
