"site_ID","M_YEAR","SITE_ID","SPECIES","TOTAL_NM","SINDEX","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","woodland_dist_m","grassland_dist_m","n_days"
17,2018,62,"Holly Blue",0.43914,1.00317504903018,0,1,2,5,3,0.487252988749579,0.1825868445284,0,0.330160166722021,0.268380581511535,0.266130802313689,0,0.465488616174776,0.130983383495782,0.552429142560682,0,0.316587473943536,547.10538424981,44.5356931374509,68
17,2019,62,"Holly Blue",0.24569,16.6031668356112,0,1,2,5,3,0.487252988749579,0.1825868445284,0,0.330160166722021,0.268380581511535,0.266130802313689,0,0.465488616174776,0.130983383495782,0.552429142560682,0,0.316587473943536,547.10538424981,44.5356931374509,87
18,2019,64,"Holly Blue",0.17567,17.6772140710624,4,1,1,2,2,1,0,0,0,1,0,0,0,0.903091915521775,0,0,0.0969080844782249,571.859768997201,327.878114337843,36
18,2020,64,"Holly Blue",0.2369,11.1944475540132,4,1,1,2,2,1,0,0,0,1,0,0,0,0.903091915521775,0,0,0.0969080844782249,571.859768997201,327.878114337843,30
18,2021,64,"Holly Blue",0.21498,21.6286363144804,4,1,1,2,2,1,0,0,0,1,0,0,0,0.903091915521775,0,0,0.0969080844782249,571.859768997201,327.878114337843,16
19,2016,66,"Holly Blue",0.26192,1.06032170160427,40,1,1,2,3,0.881105309712217,0,0,0.118894690287783,0.594631341861531,0,0.0646173225917378,0.340751335546731,0.429695941610126,0.159781205286199,0.0369087029233158,0.37361415018036,142.339086768838,55.8296185281301,49
20,2020,68,"Holly Blue",0.31903,1.79966166360724,0,1,2,5,3,0.74355198755178,0,0,0.25644801244822,0.681530000517589,0,0.0144080234581309,0.30406197602428,0.574010046646346,0,0.0400025977368327,0.385987355616821,214.971311155003,27.7582496718587,31
20,2021,68,"Holly Blue",0.21063,4.88985599374098,0,1,2,5,3,0.74355198755178,0,0,0.25644801244822,0.681530000517589,0,0.0144080234581309,0.30406197602428,0.574010046646346,0,0.0400025977368327,0.385987355616821,214.971311155003,27.7582496718587,29
21,2018,69,"Holly Blue",0.38018,2.25896810337038,4,2,1,1,3,0.178415615233011,0,0,0,0.21377758240928,0,0,0,0.198850670297676,0,0,0,2028.28874584195,1077.93820938731,43
22,2017,70,"Holly Blue",0.24082,34.4297897134382,0,1,2,3,1,1,0,0,0,1,0,0,0,0.993772237934056,0.00622776206594408,0,0,637.431541756365,596.69824455052,60
22,2018,70,"Holly Blue",0.46402,25.1118956526877,0,1,2,3,1,1,0,0,0,1,0,0,0,0.993772237934056,0.00622776206594408,0,0,637.431541756365,596.69824455052,75
22,2019,70,"Holly Blue",0.24727,8.05938874013844,0,1,2,3,1,1,0,0,0,1,0,0,0,0.993772237934056,0.00622776206594408,0,0,637.431541756365,596.69824455052,83
22,2020,70,"Holly Blue",0.33755,11.1126751172387,0,1,2,3,1,1,0,0,0,1,0,0,0,0.993772237934056,0.00622776206594408,0,0,637.431541756365,596.69824455052,96
22,2021,70,"Holly Blue",0.32527,16.2999185004075,0,1,2,3,1,1,0,0,0,1,0,0,0,0.993772237934056,0.00622776206594408,0,0,637.431541756365,596.69824455052,75
